,Hotel name,Latitude,Longtitude
0,JÄ«wani,25.0537508,61.7707288
1,Salalah,17.0193843,54.11075049999999
2,Nizwa,22.9171031,57.536292
3,Baswa,27.1419038,76.5892774
4,Shujalpur,23.3882023,76.71633589999999
5,Degema,4.769508699999999,6.768136599999999
6,Shanwei,22.786186,115.375158
7,Lafia,8.5060115,8.5226706
8,Tura,25.5140712,90.2032141
9,Abu Dhabi,24.453884,54.3773438
10,Tomohon,1.3229337,124.8405081
11,Muscat,23.5880307,58.3828717
12,Wamba,8.943208,8.6023254
13,Lekki,6.4698419,3.5851718
14,Jahangirpur,28.1787958,77.7037131
15,Eyl,7.980799599999999,49.8150661
16,Okinawa,26.3343533,127.8056058
17,Sakaka,29.87800309999999,40.10430569999999
18,Tezu,27.9276542,96.1533094
19,Joura,26.3440501,77.80723730000001
20,New Bhagwati,20.00128969999999,77.033058
21,Atuona,-9.8028605,-139.0398069
22,Touros,-5.196166899999999,-35.46353810000001
23,George Town,5.414130699999999,100.3287506
24,Chacra Gaia,-34.6607343,-54.91442410000001
25,San Francisco,37.7749295,-122.4194155
26,Tacuarembo,-31.7206837,-55.98598870000001
27,Moerai,-22.4512228,-151.3431677
28,Natal,-5.7792569,-35.200916
29,General Pico,-35.65932389999999,-63.75778869999999
30,Salinas,36.67773719999999,-121.6555013
31,Rocha,-34.4809769,-54.3307438
